(0, 1)
(0, 2)
(1, 2)
(0, 3)
(1, 3)
(2, 3)
(2, 4)
(0, 4)
(1, 4)
(3, 5)
(2, 5)
(0, 5)
(1, 6)
(0, 6)
(3, 6)
(0, 7)
(2, 7)
(1, 7)
(5, 8)
(1, 8)
(7, 8)
(0, 9)
(1, 9)
(3, 9)
(2, 10)
(3, 10)
(0, 10)
(1, 11)
(7, 11)
(3, 11)
(4, 12)
(0, 12)
(5, 12)
(2, 13)
(1, 13)
(4, 13)
(0, 14)
(5, 14)
(3, 14)
(0, 15)
(5, 15)
(1, 15)
(4, 16)
(3, 16)
(1, 16)
(5, 17)
(3, 17)
(0, 17)
(3, 18)
(1, 18)
(4, 18)
(5, 19)
(0, 19)
(1, 19)
(1, 20)
(4, 20)
(7, 20)
(1, 21)
(3, 21)
(0, 21)
(4, 22)
(0, 22)
(6, 22)
(5, 23)
(22, 23)
(3, 23)
(0, 24)
(14, 24)
(5, 24)
(0, 25)
(5, 25)
(7, 25)
(0, 26)
(1, 26)
(5, 26)
(3, 27)
(12, 27)
(2, 27)
(7, 28)
(5, 28)
(1, 28)
(7, 29)
(17, 29)
(2, 29)
(5, 30)
(1, 30)
(3, 30)
(11, 31)
(3, 31)
(19, 31)
(0, 32)
(7, 32)
(2, 32)
(21, 33)
(5, 33)
(0, 33)
(1, 34)
(16, 34)
(5, 34)
(1, 35)
(16, 35)
(5, 35)
(26, 36)
(0, 36)
(5, 36)
(26, 37)
(0, 37)
(3, 37)
(26, 38)
(7, 38)
(33, 38)
(29, 39)
(20, 39)
(3, 39)
(23, 40)
(3, 40)
(1, 40)
(1, 41)
(5, 41)
(16, 41)
(5, 42)
(7, 42)
(14, 42)
(2, 43)
(5, 43)
(7, 43)
(37, 44)
(16, 44)
(2, 44)
(2, 45)
(17, 45)
(0, 45)
(5, 46)
(0, 46)
(13, 46)
(5, 47)
(1, 47)
(4, 47)
(17, 48)
(1, 48)
(29, 48)
(26, 49)
(7, 49)
(12, 49)
(2, 50)
(0, 50)
(26, 50)
(1, 51)
(45, 51)
(16, 51)
(22, 52)
(0, 52)
(1, 52)
(40, 53)
(12, 53)
(0, 53)
(7, 54)
(5, 54)
(3, 54)
(4, 55)
(1, 55)
(43, 55)
(7, 56)
(33, 56)
(1, 56)
(20, 57)
(52, 57)
(16, 57)
(22, 58)
(45, 58)
(7, 58)
(3, 59)
(6, 59)
(0, 59)
(29, 60)
(3, 60)
(0, 60)
(7, 61)
(4, 61)
(9, 61)
(4, 62)
(33, 62)
(15, 62)
(5, 63)
(15, 63)
(1, 63)
(0, 64)
(12, 64)
(2, 64)
(11, 65)
(10, 65)
(7, 65)
(29, 66)
(23, 66)
(43, 66)
(7, 67)
(12, 67)
(60, 67)
(49, 68)
(16, 68)
(0, 68)
(7, 69)
(3, 69)
(15, 69)
(16, 70)
(45, 70)
(5, 70)
(23, 71)
(0, 71)
(4, 71)
(0, 72)
(15, 72)
(2, 72)
(2, 73)
(21, 73)
(3, 73)
(5, 74)
(0, 74)
(37, 74)
(70, 75)
(60, 75)
(26, 75)
(3, 76)
(69, 76)
(2, 76)
(7, 77)
(5, 77)
(6, 77)
(7, 78)
(28, 78)
(1, 78)
(49, 79)
(0, 79)
(21, 79)
(3, 80)
(19, 80)
(52, 80)
(22, 81)
(33, 81)
(3, 81)
(12, 82)
(3, 82)
(1, 82)
(61, 83)
(53, 83)
(5, 83)
(33, 84)
(18, 84)
(1, 84)
(22, 85)
(3, 85)
(0, 85)
(26, 86)
(11, 86)
(64, 86)
(26, 87)
(9, 87)
(3, 87)
(5, 88)
(0, 88)
(16, 88)
(1, 89)
(54, 89)
(2, 89)
(5, 90)
(6, 90)
(29, 90)
(22, 91)
(31, 91)
(64, 91)
(7, 92)
(91, 92)
(15, 92)
(4, 93)
(75, 93)
(5, 93)
(3, 94)
(53, 94)
(37, 94)
(71, 95)
(26, 95)
(14, 95)
(6, 96)
(5, 96)
(47, 96)
(0, 97)
(2, 97)
(13, 97)
(7, 98)
(49, 98)
(0, 98)
(26, 99)
(1, 99)
(45, 99)
(3, 100)
(62, 100)
(11, 100)
(41, 101)
(70, 101)
(42, 101)
(3, 102)
(66, 102)
(61, 102)
(0, 103)
(45, 103)
(69, 103)
(0, 104)
(1, 104)
(26, 104)
(1, 105)
(66, 105)
(42, 105)
(62, 106)
(3, 106)
(65, 106)
(1, 107)
(22, 107)
(2, 107)
(26, 108)
(51, 108)
(1, 108)
(4, 109)
(33, 109)
(36, 109)
(7, 110)
(29, 110)
(2, 110)
(17, 111)
(1, 111)
(76, 111)
(65, 112)
(1, 112)
(5, 112)
(1, 113)
(96, 113)
(7, 113)
(5, 114)
(3, 114)
(14, 114)
(6, 115)
(49, 115)
(41, 115)
(3, 116)
(7, 116)
(0, 116)
(93, 117)
(3, 117)
(10, 117)
(0, 118)
(58, 118)
(69, 118)
(5, 119)
(15, 119)
(0, 119)
(1, 120)
(4, 120)
(110, 120)
(0, 121)
(7, 121)
(105, 121)
(15, 122)
(1, 122)
(51, 122)
(5, 123)
(16, 123)
(1, 123)
(49, 124)
(90, 124)
(22, 124)
(0, 125)
(3, 125)
(21, 125)
(5, 126)
(21, 126)
(93, 126)
(23, 127)
(5, 127)
(26, 127)
(9, 128)
(13, 128)
(0, 128)
(33, 129)
(0, 129)
(93, 129)
(73, 130)
(48, 130)
(7, 130)
(7, 131)
(22, 131)
(3, 131)
(46, 132)
(15, 132)
(37, 132)
(78, 133)
(115, 133)
(7, 133)
(133, 134)
(3, 134)
(5, 134)
(0, 135)
(7, 135)
(110, 135)
(1, 136)
(77, 136)
(108, 136)
(16, 137)
(14, 137)
(68, 137)
(26, 138)
(0, 138)
(29, 138)
(133, 139)
(31, 139)
(134, 139)
(3, 140)
(1, 140)
(61, 140)
(19, 141)
(12, 141)
(1, 141)
(3, 142)
(140, 142)
(1, 142)
(121, 143)
(52, 143)
(16, 143)
(1, 144)
(0, 144)
(33, 144)
(125, 145)
(66, 145)
(3, 145)
(54, 146)
(117, 146)
(13, 146)
(26, 147)
(4, 147)
(37, 147)
(110, 148)
(16, 148)
(26, 148)
(0, 149)
(38, 149)
(65, 149)
(16, 150)
(5, 150)
(76, 150)
(3, 151)
(19, 151)
(1, 151)
(3, 152)
(16, 152)
(8, 152)
(77, 153)
(69, 153)
(2, 153)
(3, 154)
(1, 154)
(22, 154)
(0, 155)
(26, 155)
(75, 155)
(26, 156)
(5, 156)
(12, 156)
(44, 157)
(0, 157)
(61, 157)
(29, 158)
(3, 158)
(133, 158)
(70, 159)
(59, 159)
(3, 159)
(1, 160)
(94, 160)
(53, 160)
(5, 161)
(0, 161)
(15, 161)
(29, 162)
(1, 162)
(5, 162)
(78, 163)
(33, 163)
(1, 163)
(3, 164)
(22, 164)
(11, 164)
(1, 165)
(97, 165)
(26, 165)
(49, 166)
(17, 166)
(1, 166)
(16, 167)
(0, 167)
(110, 167)
(63, 168)
(37, 168)
(5, 168)
