
buyer0,house21,18
buyer1,house75,18
buyer2,house30,18
buyer3,house65,18
buyer4,house33,19
buyer5,house64,18
buyer6,house91,18
buyer7,house87,18
buyer8,house28,18
buyer9,house90,18
buyer10,house39,18
buyer11,house51,18
buyer12,house49,18
buyer13,house96,18
buyer14,house13,18
buyer15,house94,18
buyer16,house15,18
buyer17,house72,18
buyer18,house70,19
buyer19,house82,18
buyer20,house97,19
buyer21,house57,19
buyer22,house12,18
buyer23,house26,18
buyer24,house27,18
buyer25,house19,18
buyer26,house22,18
buyer27,house2,18
buyer28,house98,18
buyer29,house42,19
buyer30,house60,18
buyer31,house84,18
buyer32,house67,18
buyer33,house45,19
buyer34,house40,18
buyer35,house58,18
buyer36,house69,19
buyer37,house0,18
buyer38,house34,18
buyer39,house66,18
buyer40,house88,18
buyer41,house93,18
buyer42,house3,18
buyer43,house59,18
buyer44,house61,19
buyer45,house78,18
buyer46,house62,18
buyer47,house10,18
buyer48,house7,18
buyer49,house73,18
buyer50,house95,18
buyer51,house50,18
buyer52,house32,18
buyer53,house14,18
buyer54,house16,18
buyer55,house44,18
buyer56,house83,18
buyer57,house54,18
buyer58,house89,19
buyer59,house24,18
buyer60,house76,18
buyer61,house74,18
buyer62,house4,18
buyer63,house1,18
buyer64,house46,18
buyer65,house25,18
buyer66,house71,18
buyer67,house41,18
buyer68,house63,18
buyer69,house77,18
buyer70,house29,18
buyer71,house53,18
buyer72,house85,18
buyer73,house18,18
buyer74,house23,18
buyer75,house79,18
buyer76,house86,19
buyer77,house38,18
buyer78,house37,19
buyer79,house11,18
buyer80,house5,18
buyer81,house92,18
buyer82,house6,18
buyer83,house35,18
buyer84,house56,18
buyer85,house31,19
buyer86,house43,18
buyer87,house9,18
buyer88,house48,18
buyer89,house8,18
buyer90,house80,18
buyer91,house68,18
buyer92,house17,18
buyer93,house36,18
buyer94,house99,18
buyer95,house52,18
buyer96,house55,18
buyer97,house81,18
buyer98,house20,18
buyer99,house47,18
